Country,City,Year,AQI_Level,PM2_5,PM10,NO2,CO_Level,Pollution_Source,Air_Quality_Status
France,Toulouse,2024,119,51.99,93.83,71.31,5.08,Traffic Congestion,Poor
Brazil,Fortaleza,2020,265,124.93,202.77,99.29,11.39,Burning Waste,Very Poor
France,Marseille,2021,65,23.73,60.7,18.1,1.74,Construction Dust,Moderate
Australia,Brisbane,2026,93,63.16,114.54,33.2,2.59,Power Plants,Moderate
UAE,Dubai,2022,244,132.11,233.85,89.38,7.31,Power Plants,Very Poor
France,Marseille,2026,124,61.82,92.58,82.76,3.64,Industrial Pollution,Poor
Japan,Tokyo,2023,107,57.91,89.35,41.85,3.02,Power Plants,Poor
France,Marseille,2025,169,107.42,137.84,68.98,7.49,Burning Waste,Poor
India,Bangalore,2022,209,145.91,212.79,125.87,6.41,Industrial Pollution,Very Poor
Japan,Tokyo,2022,93,46.58,65.14,54.95,3.7,Traffic Congestion,Moderate
Germany,Frankfurt,2020,54,30.89,53.93,25.39,1.92,Power Plants,Moderate
France,Paris,2024,76,46.55,85.67,54.08,2.94,Vehicle Emissions,Moderate
Japan,Osaka,2019,101,48.71,96.47,65.11,4.29,Traffic Congestion,Poor
Australia,Adelaide,2020,48,33.06,60.06,9.46,1.87,Burning Waste,Good
Brazil,Fortaleza,2019,195,101.49,172.57,118.04,7.91,Traffic Congestion,Poor
Germany,Hamburg,2025,85,51.04,91.56,51.23,3.82,Traffic Congestion,Moderate
USA,Houston,2021,156,74.72,98.28,94.9,4.83,Industrial Pollution,Poor
USA,Chicago,2025,61,28.13,58.83,15.13,3.05,Burning Waste,Moderate
Canada,Toronto,2025,93,47.1,77.07,51.89,2.55,Industrial Pollution,Moderate
France,Toulouse,2025,77,47.22,71.8,22.99,3.11,Burning Waste,Moderate
Brazil,Rio de Janeiro,2025,229,132.53,205.47,138.84,9.76,Vehicle Emissions,Very Poor
UK,Leeds,2025,101,44.4,73.68,53.39,4.48,Traffic Congestion,Poor
Japan,Tokyo,2026,100,59.38,82.26,49.09,2.54,Power Plants,Moderate
Germany,Cologne,2019,62,22.13,51.49,24.98,1.6,Construction Dust,Moderate
Australia,Sydney,2026,56,27.75,56.18,32.67,2.72,Traffic Congestion,Moderate
France,Toulouse,2025,78,44.41,77.99,36.8,2.29,Construction Dust,Moderate
Australia,Perth,2018,84,43.01,96.28,41.32,2.39,Construction Dust,Moderate
UK,Manchester,2022,85,52.3,77.25,43.36,3.68,Traffic Congestion,Moderate
Canada,Toronto,2019,84,39.79,64.58,54.47,2.85,Industrial Pollution,Moderate
UK,Birmingham,2022,104,69.7,95.14,33.47,2.63,Power Plants,Poor
India,Kolkata,2025,188,84.29,137.5,119.51,7.78,Traffic Congestion,Poor
UAE,Sharjah,2026,130,51.54,102.21,55.59,4.04,Natural Dust,Poor
Germany,Hamburg,2026,104,69.45,106.6,69.75,3.02,Industrial Pollution,Poor
UAE,Al Ain,2018,268,96.68,149.72,165.78,10.8,Traffic Congestion,Very Poor
UK,Glasgow,2024,102,63.02,79.92,61.78,4.66,Traffic Congestion,Poor
Canada,Toronto,2025,115,73.56,120.59,76.33,3.01,Industrial Pollution,Poor
Canada,Montreal,2020,41,24.98,54.79,23.98,1.29,Traffic Congestion,Good
USA,New York,2023,153,109.31,148.61,87.65,4.73,Industrial Pollution,Poor
France,Marseille,2020,67,33.93,52.26,30.79,2.75,Traffic Congestion,Moderate
USA,Los Angeles,2026,94,33.0,68.29,43.7,3.3,Natural Dust,Moderate
Germany,Hamburg,2020,138,84.55,151.82,90.19,5.56,Traffic Congestion,Poor
Germany,Frankfurt,2019,168,89.74,159.74,104.7,4.82,Industrial Pollution,Poor
Germany,Frankfurt,2026,72,43.19,64.88,29.03,1.75,Power Plants,Moderate
Australia,Brisbane,2025,75,31.84,60.21,46.93,3.49,Traffic Congestion,Moderate
USA,Chicago,2025,126,51.19,109.53,43.29,3.78,Construction Dust,Poor
Australia,Perth,2019,109,55.65,80.96,52.55,4.67,Burning Waste,Poor
UAE,Dubai,2023,308,198.14,270.04,174.85,9.63,Industrial Pollution,Hazardous
France,Toulouse,2022,92,38.92,71.52,61.37,3.99,Traffic Congestion,Moderate
UK,London,2019,79,35.58,70.82,39.28,2.65,Power Plants,Moderate
Japan,Nagoya,2022,64,35.1,57.66,46.58,2.86,Vehicle Emissions,Moderate
USA,San Francisco,2021,129,83.3,111.2,48.8,5.58,Burning Waste,Poor
Japan,Tokyo,2026,118,62.9,113.56,72.17,3.6,Industrial Pollution,Poor
Canada,Calgary,2018,86,62.49,93.7,56.92,2.96,Industrial Pollution,Moderate
USA,Los Angeles,2023,145,54.46,94.33,88.2,5.79,Traffic Congestion,Poor
UAE,Ajman,2024,193,135.61,240.93,80.51,8.19,Burning Waste,Poor
USA,Los Angeles,2023,131,72.54,127.46,51.21,5.9,Burning Waste,Poor
Australia,Perth,2022,71,39.07,64.68,48.49,2.0,Industrial Pollution,Moderate
France,Lyon,2021,113,74.47,125.79,52.44,3.12,Power Plants,Poor
UK,Manchester,2022,91,40.08,67.45,63.45,3.94,Vehicle Emissions,Moderate
Brazil,Fortaleza,2026,192,82.21,113.4,121.08,8.47,Traffic Congestion,Poor
UK,Leeds,2022,128,94.82,134.17,50.32,4.19,Power Plants,Poor
UK,London,2025,50,25.12,60.71,21.53,1.06,Natural Dust,Good
Canada,Vancouver,2024,71,30.99,67.07,36.53,2.07,Construction Dust,Moderate
UAE,Sharjah,2021,254,141.57,312.99,103.41,7.37,Construction Dust,Very Poor
Japan,Yokohama,2022,96,60.81,119.69,45.52,2.54,Construction Dust,Moderate
UAE,Dubai,2024,186,89.69,161.53,102.12,5.35,Industrial Pollution,Poor
Brazil,Salvador,2023,201,110.65,146.03,129.65,8.09,Traffic Congestion,Very Poor
Canada,Montreal,2020,44,24.91,44.99,18.23,2.04,Traffic Congestion,Good
France,Lyon,2020,68,41.07,72.89,38.48,2.47,Vehicle Emissions,Moderate
UK,Manchester,2019,47,22.91,42.95,27.22,2.38,Vehicle Emissions,Good
Australia,Brisbane,2020,65,27.34,49.14,32.19,2.85,Traffic Congestion,Moderate
Canada,Calgary,2018,31,18.61,48.97,10.4,1.07,Natural Dust,Good
Germany,Berlin,2026,167,112.24,182.13,104.65,4.64,Industrial Pollution,Poor
USA,Chicago,2019,182,116.24,156.54,115.58,5.01,Industrial Pollution,Poor
UAE,Al Ain,2020,182,105.87,175.01,113.81,5.03,Industrial Pollution,Poor
Canada,Toronto,2022,100,41.08,79.3,50.21,4.61,Vehicle Emissions,Moderate
Germany,Cologne,2021,113,78.64,130.0,59.56,3.28,Industrial Pollution,Poor
Japan,Yokohama,2022,114,75.37,130.14,48.23,4.61,Burning Waste,Poor
Brazil,Brasilia,2023,180,119.08,217.3,64.27,7.94,Burning Waste,Poor
Brazil,Sao Paulo,2022,132,97.92,168.39,57.43,5.78,Burning Waste,Poor
UK,Manchester,2018,143,106.66,184.3,89.5,4.2,Industrial Pollution,Poor
UK,Manchester,2023,80,59.1,95.08,35.68,3.45,Burning Waste,Moderate
Canada,Toronto,2026,53,34.24,52.62,36.45,1.96,Traffic Congestion,Moderate
Canada,Montreal,2020,49,22.93,49.56,17.16,1.12,Natural Dust,Good
France,Lyon,2019,181,121.81,139.09,113.23,5.2,Industrial Pollution,Poor
USA,Los Angeles,2023,85,42.16,88.79,41.52,3.03,Natural Dust,Moderate
India,Mumbai,2020,363,184.7,226.5,151.05,15.46,Burning Waste,Hazardous
Japan,Tokyo,2021,167,77.56,104.42,95.59,4.96,Industrial Pollution,Poor
UK,London,2023,156,101.73,158.67,59.06,4.33,Power Plants,Poor
India,Bangalore,2023,187,98.88,211.01,84.46,5.53,Construction Dust,Poor
India,Chennai,2019,495,273.3,378.31,205.83,15.26,Power Plants,Hazardous
USA,New York,2020,41,18.3,54.29,13.37,1.34,Construction Dust,Good
Australia,Brisbane,2026,74,28.71,70.45,31.48,2.46,Construction Dust,Moderate
Australia,Adelaide,2019,84,51.93,69.34,31.94,3.71,Burning Waste,Moderate
UK,Birmingham,2020,94,48.46,99.2,41.26,2.8,Construction Dust,Moderate
Germany,Berlin,2026,83,39.63,92.2,28.97,2.44,Construction Dust,Moderate
USA,Chicago,2021,98,56.74,75.79,43.15,2.66,Power Plants,Moderate
USA,Los Angeles,2018,129,48.11,105.04,42.61,3.37,Construction Dust,Poor
UAE,Ajman,2019,141,67.72,84.91,75.96,4.32,Industrial Pollution,Poor
India,Mumbai,2020,169,104.3,215.52,59.16,5.14,Natural Dust,Poor
UAE,Sharjah,2026,151,94.95,163.99,84.38,6.54,Traffic Congestion,Poor
India,Chennai,2026,392,148.1,253.49,151.21,11.67,Natural Dust,Hazardous
Australia,Perth,2023,88,63.02,88.78,45.98,2.57,Industrial Pollution,Moderate
UK,Glasgow,2023,96,36.17,58.55,65.57,4.43,Traffic Congestion,Moderate
Japan,Yokohama,2020,80,49.92,74.92,37.71,3.64,Burning Waste,Moderate
Australia,Sydney,2022,93,38.72,55.71,65.11,3.71,Traffic Congestion,Moderate
USA,Chicago,2021,164,66.09,113.66,97.01,7.1,Traffic Congestion,Poor
Japan,Yokohama,2026,101,59.25,90.63,43.62,2.91,Power Plants,Poor
Canada,Vancouver,2026,66,23.4,46.68,32.97,3.12,Traffic Congestion,Moderate
Japan,Nagoya,2018,80,42.55,62.19,45.44,3.45,Traffic Congestion,Moderate
Japan,Kyoto,2025,142,54.04,84.53,84.82,6.08,Vehicle Emissions,Poor
Australia,Melbourne,2026,22,12.08,41.65,4.03,0.8,Natural Dust,Good
USA,New York,2022,130,65.2,118.91,52.99,4.02,Power Plants,Poor
Japan,Yokohama,2021,98,41.76,92.48,46.32,2.58,Natural Dust,Moderate
Australia,Melbourne,2021,95,38.92,80.75,55.56,4.07,Vehicle Emissions,Moderate
Australia,Brisbane,2019,75,32.73,65.54,34.26,2.31,Construction Dust,Moderate
Japan,Osaka,2026,143,92.03,119.47,93.67,5.69,Vehicle Emissions,Poor
India,Delhi,2022,200,127.22,280.22,84.98,5.72,Construction Dust,Poor
USA,San Francisco,2020,40,24.15,61.24,23.78,0.73,Natural Dust,Good
Brazil,Salvador,2023,162,91.75,146.37,103.71,6.66,Traffic Congestion,Poor
Japan,Kyoto,2026,123,73.04,114.25,51.44,3.78,Power Plants,Poor
UAE,Ajman,2026,347,229.54,301.38,144.55,10.29,Power Plants,Hazardous
UAE,Ajman,2022,200,102.88,168.19,80.93,7.98,Burning Waste,Poor
Canada,Calgary,2025,23,11.3,42.85,10.11,1.11,Natural Dust,Good
USA,Los Angeles,2021,90,50.85,80.9,36.19,4.12,Burning Waste,Moderate
Australia,Melbourne,2022,62,37.29,70.36,44.31,2.56,Traffic Congestion,Moderate
France,Nice,2024,76,45.12,98.94,26.13,2.54,Natural Dust,Moderate
UK,London,2024,111,67.55,101.79,71.02,4.26,Traffic Congestion,Poor
Germany,Frankfurt,2024,46,24.12,55.25,23.42,1.31,Construction Dust,Good
France,Marseille,2025,99,60.66,142.03,40.7,3.28,Natural Dust,Moderate
USA,Houston,2022,87,55.56,128.55,33.3,2.31,Natural Dust,Moderate
USA,New York,2018,146,90.15,207.83,55.33,3.94,Construction Dust,Poor
Japan,Kyoto,2026,121,86.85,144.05,78.03,3.44,Industrial Pollution,Poor
Japan,Kyoto,2026,110,46.85,95.34,57.17,4.54,Traffic Congestion,Poor
France,Lyon,2024,101,53.34,92.46,65.18,3.43,Industrial Pollution,Poor
Australia,Brisbane,2023,9,3.18,25.97,2.0,0.3,Natural Dust,Good
Canada,Ottawa,2022,67,31.92,62.67,41.42,1.84,Industrial Pollution,Moderate
Japan,Kyoto,2022,186,114.31,176.74,72.08,5.17,Power Plants,Poor
Germany,Berlin,2020,81,48.2,98.91,30.55,2.5,Natural Dust,Moderate
Germany,Munich,2018,152,79.74,131.14,95.08,6.79,Vehicle Emissions,Poor
Canada,Toronto,2023,16,9.7,31.58,13.85,0.1,Construction Dust,Good
India,Kolkata,2025,299,216.65,353.65,126.4,12.4,Burning Waste,Very Poor
India,Chennai,2019,353,201.35,363.64,143.12,10.68,Construction Dust,Hazardous
USA,San Francisco,2025,117,63.44,143.88,38.39,3.17,Natural Dust,Poor
Japan,Yokohama,2025,80,45.89,78.78,56.05,2.89,Vehicle Emissions,Moderate
UAE,Dubai,2025,204,120.93,237.5,73.74,6.27,Construction Dust,Very Poor
France,Paris,2020,118,84.17,120.25,44.63,4.82,Burning Waste,Poor
Brazil,Salvador,2025,166,113.8,147.2,56.51,7.12,Burning Waste,Poor
Canada,Montreal,2021,68,27.61,50.61,42.42,2.65,Vehicle Emissions,Moderate
USA,Chicago,2020,109,68.26,112.49,48.1,4.78,Burning Waste,Poor
UAE,Abu Dhabi,2026,198,118.07,195.47,70.67,5.91,Power Plants,Poor
Japan,Tokyo,2025,126,82.27,106.3,59.81,5.72,Burning Waste,Poor
UAE,Dubai,2019,155,75.32,133.76,101.05,6.74,Traffic Congestion,Poor
UAE,Ajman,2025,295,139.77,225.92,182.03,12.07,Vehicle Emissions,Very Poor
Canada,Calgary,2020,92,36.68,60.58,45.42,4.21,Vehicle Emissions,Moderate
USA,Chicago,2023,102,37.13,86.16,34.39,3.43,Construction Dust,Poor
Australia,Sydney,2022,80,40.71,73.9,33.88,3.48,Burning Waste,Moderate
Germany,Berlin,2025,46,22.01,51.19,16.66,2.4,Burning Waste,Good
France,Nice,2026,93,35.23,86.11,28.89,2.41,Natural Dust,Moderate
USA,Los Angeles,2024,82,36.38,69.58,39.69,2.25,Natural Dust,Moderate
Brazil,Rio de Janeiro,2023,253,131.66,230.83,153.12,10.35,Vehicle Emissions,Very Poor
UAE,Sharjah,2023,266,161.93,339.09,107.24,7.51,Natural Dust,Very Poor
Australia,Sydney,2018,83,51.52,102.1,32.58,2.73,Construction Dust,Moderate
Canada,Ottawa,2022,27,9.6,20.17,18.13,1.35,Traffic Congestion,Good
UK,London,2025,58,20.34,46.32,24.73,1.82,Construction Dust,Moderate
France,Toulouse,2023,123,92.11,134.88,52.34,4.02,Power Plants,Poor
France,Lyon,2018,153,90.39,127.89,83.1,6.9,Traffic Congestion,Poor
Germany,Munich,2022,143,98.24,161.97,64.04,4.11,Power Plants,Poor
UK,London,2022,94,37.64,76.53,65.05,3.45,Vehicle Emissions,Moderate
Japan,Kyoto,2020,103,56.28,98.48,31.66,3.58,Construction Dust,Poor
UK,Birmingham,2025,77,48.36,102.4,21.8,2.57,Construction Dust,Moderate
UAE,Dubai,2026,227,122.69,157.54,95.94,6.94,Power Plants,Very Poor
UAE,Al Ain,2023,332,163.09,273.64,192.11,13.46,Traffic Congestion,Hazardous
UAE,Sharjah,2023,211,75.28,150.38,82.03,5.9,Natural Dust,Very Poor
UAE,Dubai,2019,250,174.96,234.28,106.46,7.37,Power Plants,Very Poor
USA,Los Angeles,2019,166,87.5,149.26,94.68,7.27,Vehicle Emissions,Poor
France,Marseille,2023,144,63.1,100.27,76.73,6.3,Traffic Congestion,Poor
UK,Leeds,2025,71,44.22,88.05,29.4,2.61,Construction Dust,Moderate
France,Lyon,2019,109,42.07,79.98,57.48,5.07,Vehicle Emissions,Poor
Brazil,Brasilia,2026,216,155.35,240.32,82.28,6.62,Power Plants,Very Poor
UK,London,2026,102,72.31,115.21,45.14,4.23,Burning Waste,Poor
USA,Los Angeles,2021,96,44.72,72.93,28.55,2.58,Power Plants,Moderate
Brazil,Rio de Janeiro,2021,217,113.6,247.76,90.0,6.65,Construction Dust,Very Poor
France,Nice,2021,139,82.11,127.29,81.95,6.31,Vehicle Emissions,Poor
Brazil,Fortaleza,2022,203,76.15,155.86,80.05,5.8,Natural Dust,Very Poor
Germany,Frankfurt,2025,85,52.67,102.6,38.41,2.97,Natural Dust,Moderate
Brazil,Rio de Janeiro,2019,142,67.99,140.22,61.07,4.15,Construction Dust,Poor
UK,London,2022,94,59.67,92.72,35.58,3.1,Power Plants,Moderate
UAE,Ajman,2019,329,149.58,197.41,130.14,9.49,Power Plants,Hazardous
UAE,Dubai,2025,330,227.77,300.72,194.24,9.99,Industrial Pollution,Hazardous
Japan,Nagoya,2018,62,30.61,52.91,14.85,1.6,Power Plants,Moderate
France,Paris,2024,55,27.74,67.21,25.25,1.26,Construction Dust,Moderate
Germany,Munich,2020,136,63.19,105.58,80.48,5.31,Traffic Congestion,Poor
UK,Manchester,2021,91,40.32,55.93,56.64,3.47,Traffic Congestion,Moderate
UK,Glasgow,2025,125,57.54,99.11,69.07,5.73,Vehicle Emissions,Poor
Canada,Montreal,2020,114,59.19,86.33,76.22,4.61,Vehicle Emissions,Poor
India,Kolkata,2024,446,218.82,367.56,220.0,13.27,Industrial Pollution,Hazardous
France,Toulouse,2018,117,53.63,122.32,56.45,3.55,Natural Dust,Poor
UK,Birmingham,2026,46,16.2,35.07,20.8,1.32,Construction Dust,Good
Australia,Melbourne,2023,52,35.95,66.63,14.13,1.61,Power Plants,Moderate
UK,Leeds,2020,95,70.41,117.91,44.45,3.99,Burning Waste,Moderate
Canada,Ottawa,2024,116,47.16,76.35,77.07,4.46,Vehicle Emissions,Poor
Brazil,Salvador,2022,162,87.15,176.47,67.61,5.32,Construction Dust,Poor
USA,San Francisco,2025,97,61.02,85.55,66.18,4.27,Traffic Congestion,Moderate
USA,Los Angeles,2025,166,106.07,152.59,97.99,4.74,Industrial Pollution,Poor
Australia,Adelaide,2026,37,23.19,46.26,8.42,1.22,Burning Waste,Good
Australia,Perth,2023,36,17.95,46.4,5.84,0.88,Natural Dust,Good
Japan,Kyoto,2021,61,37.98,80.24,28.51,1.74,Construction Dust,Moderate
USA,New York,2019,133,68.73,106.09,48.32,3.74,Power Plants,Poor
Brazil,Fortaleza,2020,199,107.5,215.12,78.88,5.75,Natural Dust,Poor
USA,Los Angeles,2022,55,23.82,45.97,31.09,2.2,Traffic Congestion,Moderate
India,Bangalore,2025,398,228.74,387.16,220.0,16.43,Vehicle Emissions,Hazardous
France,Marseille,2019,160,60.46,114.16,89.66,7.07,Traffic Congestion,Poor
USA,San Francisco,2022,140,83.68,140.58,54.83,3.78,Power Plants,Poor
UAE,Ajman,2026,334,213.94,290.78,197.59,9.97,Industrial Pollution,Hazardous
Japan,Tokyo,2019,129,67.01,117.44,84.22,5.01,Vehicle Emissions,Poor
Canada,Toronto,2025,78,50.01,80.14,34.04,3.51,Burning Waste,Moderate
Australia,Brisbane,2020,64,38.16,55.83,42.94,2.35,Vehicle Emissions,Moderate
India,Delhi,2025,342,199.36,263.04,207.3,14.65,Traffic Congestion,Hazardous
Australia,Perth,2021,100,45.41,85.83,34.51,2.89,Power Plants,Moderate
Japan,Osaka,2021,63,29.47,62.3,34.27,1.93,Natural Dust,Moderate
UK,Glasgow,2024,109,63.57,126.66,50.7,3.07,Construction Dust,Poor
India,Bangalore,2022,299,117.1,208.65,176.12,12.4,Traffic Congestion,Very Poor
Germany,Frankfurt,2021,75,43.08,80.5,21.2,1.9,Construction Dust,Moderate
India,Delhi,2024,486,252.79,476.15,194.02,14.12,Construction Dust,Hazardous
Japan,Yokohama,2020,94,47.97,64.66,61.51,4.01,Traffic Congestion,Moderate
Canada,Vancouver,2026,33,13.91,33.77,18.99,0.92,Traffic Congestion,Good
India,Kolkata,2022,228,110.62,205.74,131.46,9.35,Traffic Congestion,Very Poor
Japan,Osaka,2020,174,103.86,162.96,104.66,4.98,Industrial Pollution,Poor
Brazil,Rio de Janeiro,2019,247,113.3,142.0,149.45,7.19,Industrial Pollution,Very Poor
France,Toulouse,2024,110,40.5,84.24,47.54,3.07,Construction Dust,Poor
USA,San Francisco,2024,82,39.55,78.6,26.72,3.58,Burning Waste,Moderate
Brazil,Salvador,2022,241,175.89,223.96,100.93,7.3,Power Plants,Very Poor
Japan,Osaka,2021,144,80.0,135.67,58.21,6.01,Burning Waste,Poor
UAE,Sharjah,2019,151,87.95,154.47,91.51,5.93,Traffic Congestion,Poor
UK,Manchester,2019,92,35.67,58.72,65.19,3.52,Traffic Congestion,Moderate
USA,New York,2024,55,33.22,74.66,14.15,1.99,Construction Dust,Moderate
UAE,Sharjah,2024,151,91.73,126.35,58.7,4.17,Power Plants,Poor
Canada,Ottawa,2021,89,43.35,56.41,54.39,3.04,Industrial Pollution,Moderate
Australia,Melbourne,2021,80,46.79,68.87,52.76,3.58,Vehicle Emissions,Moderate
Germany,Hamburg,2021,104,61.02,91.93,54.45,4.36,Vehicle Emissions,Poor
USA,Houston,2019,86,49.19,66.52,25.22,2.87,Power Plants,Moderate
Brazil,Fortaleza,2026,130,59.03,81.78,49.28,5.73,Burning Waste,Poor
UK,Manchester,2018,152,95.87,113.63,55.74,4.28,Power Plants,Poor
UAE,Abu Dhabi,2025,153,75.11,106.4,71.0,6.0,Burning Waste,Poor
Japan,Kyoto,2023,165,85.53,135.4,91.19,6.48,Traffic Congestion,Poor
USA,New York,2024,99,60.82,131.29,30.84,3.13,Natural Dust,Moderate
Australia,Brisbane,2022,64,45.62,87.77,28.54,2.71,Burning Waste,Moderate
Japan,Tokyo,2023,87,31.8,49.24,50.88,3.37,Vehicle Emissions,Moderate
UAE,Ajman,2023,321,158.64,275.04,201.88,9.95,Industrial Pollution,Hazardous
UK,Birmingham,2026,61,29.65,66.48,31.7,1.77,Construction Dust,Moderate
India,Delhi,2021,188,83.26,111.67,115.18,7.43,Traffic Congestion,Poor
Australia,Brisbane,2022,100,45.19,93.73,60.16,3.43,Industrial Pollution,Moderate
Japan,Kyoto,2021,83,39.07,85.92,37.69,2.93,Construction Dust,Moderate
Australia,Perth,2018,25,13.09,32.02,8.9,1.23,Natural Dust,Good
Canada,Ottawa,2023,34,18.61,47.63,18.58,1.47,Vehicle Emissions,Good
Japan,Nagoya,2022,83,52.49,91.68,49.3,3.39,Traffic Congestion,Moderate
USA,Chicago,2021,129,64.35,149.59,59.47,3.49,Construction Dust,Poor
India,Chennai,2023,309,157.44,339.44,114.7,9.08,Natural Dust,Hazardous
India,Mumbai,2022,206,98.88,162.21,129.83,8.59,Traffic Congestion,Very Poor
Germany,Cologne,2020,97,65.86,91.98,32.69,4.22,Burning Waste,Moderate
Australia,Melbourne,2019,78,36.47,68.05,23.87,1.93,Power Plants,Moderate
Brazil,Brasilia,2023,172,90.02,157.16,106.47,7.51,Traffic Congestion,Poor
India,Bangalore,2021,456,171.44,210.56,220.0,19.25,Traffic Congestion,Hazardous
India,Bangalore,2020,439,234.36,493.82,168.23,12.93,Construction Dust,Hazardous
Canada,Calgary,2025,69,35.61,64.33,45.17,1.72,Industrial Pollution,Moderate
France,Nice,2026,104,38.1,64.13,56.93,4.26,Vehicle Emissions,Poor
Canada,Toronto,2024,51,20.03,34.35,37.19,2.11,Vehicle Emissions,Moderate
Canada,Toronto,2019,61,24.2,47.66,36.55,2.49,Traffic Congestion,Moderate
France,Lyon,2025,157,74.43,122.47,87.4,6.1,Traffic Congestion,Poor
Australia,Adelaide,2022,18,8.66,29.01,7.15,0.41,Natural Dust,Good
Japan,Osaka,2024,78,50.82,76.88,23.29,2.68,Power Plants,Moderate
UK,London,2022,60,32.15,47.27,28.48,2.64,Burning Waste,Moderate
Brazil,Brasilia,2019,150,96.93,138.85,84.55,6.79,Traffic Congestion,Poor
India,Delhi,2021,255,147.57,241.74,92.68,10.9,Burning Waste,Very Poor
Germany,Berlin,2022,134,50.48,72.84,79.71,5.67,Vehicle Emissions,Poor
Brazil,Sao Paulo,2023,146,99.14,157.01,52.46,6.57,Burning Waste,Poor
Japan,Kyoto,2022,87,30.77,42.21,51.82,3.61,Traffic Congestion,Moderate
France,Lyon,2018,119,53.16,78.42,72.23,4.56,Traffic Congestion,Poor
Brazil,Salvador,2018,206,83.61,179.81,78.52,6.36,Natural Dust,Very Poor
India,Kolkata,2020,321,181.61,303.35,129.97,9.64,Power Plants,Hazardous
Brazil,Salvador,2026,137,62.49,105.3,75.04,5.81,Vehicle Emissions,Poor
UK,London,2019,72,46.23,86.1,25.65,2.8,Burning Waste,Moderate
France,Nice,2022,101,47.05,87.35,42.24,2.79,Construction Dust,Poor
Brazil,Brasilia,2026,142,80.52,156.29,66.76,4.75,Construction Dust,Poor
India,Kolkata,2024,201,102.19,186.9,84.45,5.68,Natural Dust,Very Poor
India,Chennai,2025,397,257.58,333.61,149.86,16.71,Burning Waste,Hazardous
Brazil,Salvador,2019,248,112.2,214.73,104.49,7.63,Construction Dust,Very Poor
Australia,Perth,2022,102,63.56,115.11,44.95,3.24,Power Plants,Poor
Germany,Cologne,2026,75,54.98,78.46,48.58,2.27,Industrial Pollution,Moderate
UAE,Ajman,2018,314,144.54,188.16,134.98,9.17,Power Plants,Hazardous
Canada,Toronto,2018,40,25.32,51.57,20.99,1.02,Natural Dust,Good
France,Paris,2025,196,100.38,172.63,88.22,5.9,Power Plants,Poor
UAE,Dubai,2019,320,159.02,269.1,122.07,13.56,Burning Waste,Hazardous
Japan,Osaka,2026,131,65.87,85.9,84.17,5.67,Traffic Congestion,Poor
Japan,Yokohama,2026,173,118.62,180.96,64.66,5.5,Power Plants,Poor
India,Mumbai,2021,412,297.19,400.35,174.23,17.06,Burning Waste,Hazardous
Japan,Kyoto,2019,101,52.82,81.0,58.45,3.81,Vehicle Emissions,Poor
Australia,Adelaide,2020,82,48.8,70.31,27.43,3.69,Burning Waste,Moderate
Germany,Frankfurt,2018,77,46.52,112.34,37.74,1.93,Natural Dust,Moderate
Japan,Osaka,2020,122,71.79,114.77,39.61,4.65,Burning Waste,Poor
UK,London,2022,63,32.13,67.63,30.24,3.06,Vehicle Emissions,Moderate
Germany,Hamburg,2020,87,37.15,59.92,43.11,3.28,Traffic Congestion,Moderate
Australia,Perth,2020,61,42.92,63.53,40.13,2.2,Industrial Pollution,Moderate
UAE,Dubai,2023,192,106.56,212.63,68.76,5.74,Natural Dust,Poor
Germany,Hamburg,2020,98,63.57,94.86,61.01,4.27,Vehicle Emissions,Moderate
Germany,Cologne,2020,95,49.33,67.36,44.22,3.51,Burning Waste,Moderate
UAE,Al Ain,2026,328,176.58,377.52,128.58,9.88,Natural Dust,Hazardous
Australia,Adelaide,2019,87,32.17,58.76,27.21,2.27,Construction Dust,Moderate
Japan,Kyoto,2018,88,41.13,73.88,38.68,4.16,Burning Waste,Moderate
India,Delhi,2025,198,127.84,214.17,121.5,8.12,Vehicle Emissions,Poor
France,Nice,2020,102,55.96,107.36,36.15,3.91,Burning Waste,Poor
UAE,Abu Dhabi,2024,144,64.72,89.49,91.3,6.08,Traffic Congestion,Poor
UAE,Al Ain,2019,309,141.63,228.98,187.88,12.66,Vehicle Emissions,Hazardous
UAE,Sharjah,2025,215,142.19,209.02,89.84,6.07,Power Plants,Very Poor
UAE,Abu Dhabi,2026,358,265.98,430.6,206.35,10.42,Industrial Pollution,Hazardous
France,Paris,2025,122,67.01,122.43,78.18,3.55,Industrial Pollution,Poor
France,Paris,2025,96,39.46,76.69,45.71,2.72,Natural Dust,Moderate
Japan,Nagoya,2025,103,54.18,79.34,56.93,4.4,Vehicle Emissions,Poor
Brazil,Rio de Janeiro,2024,161,114.87,192.16,93.43,4.46,Industrial Pollution,Poor
Brazil,Rio de Janeiro,2019,82,34.27,84.97,39.11,2.95,Construction Dust,Moderate
USA,San Francisco,2025,76,35.64,76.81,31.42,2.67,Natural Dust,Moderate
UAE,Al Ain,2022,270,122.84,270.54,100.12,8.15,Construction Dust,Very Poor
UAE,Ajman,2023,190,137.13,227.05,105.67,5.75,Industrial Pollution,Poor
Germany,Hamburg,2021,97,58.46,97.72,66.81,4.08,Vehicle Emissions,Moderate
Brazil,Fortaleza,2018,183,74.43,163.51,65.77,5.94,Natural Dust,Poor
Japan,Kyoto,2022,111,68.14,131.47,39.68,3.45,Construction Dust,Poor
India,Kolkata,2020,461,174.54,291.29,220.0,19.11,Traffic Congestion,Hazardous
